Freq [GHz],"3.11117,3.65863,2.9958,3.35774,3.01181","3.2408,3.88729,3.05822,3.35774,3.13475","3.30562,3.96351,3.12063,3.35774,3.04255","3.37043,3.73485,3.18304,3.35774,3.07328","3.17598,3.81107,3.24546,3.35774,3.10401","3.30562,3.73485,2.9958,3.39201,3.13475","3.17598,3.65863,3.05822,3.39201,3.04255","3.37043,3.88729,3.12063,3.39201,3.10401","3.2408,3.81107,3.18304,3.39201,3.01181","3.11117,3.96351,3.24546,3.39201,3.07328","3.37043,3.81107,2.9958,3.42627,3.04255","3.11117,3.73485,3.05822,3.42627,3.10401","3.2408,3.65863,3.12063,3.42627,3.07328","3.17598,3.96351,3.18304,3.42627,3.13475","3.30562,3.88729,3.24546,3.42627,3.01181","3.17598,3.88729,2.9958,3.46053,3.07328","3.37043,3.96351,3.05822,3.46053,3.01181","3.11117,3.81107,3.12063,3.46053,3.13475","3.30562,3.65863,3.18304,3.46053,3.10401","3.2408,3.73485,3.24546,3.46053,3.04255","3.2408,3.96351,2.9958,3.4948,3.10401","3.30562,3.81107,3.05822,3.4948,3.07328","3.17598,3.73485,3.12063,3.4948,3.01181","3.11117,3.88729,3.18304,3.4948,3.04255","3.37043,3.65863,3.24546,3.4948,3.13475","3,4.1,3.5,3.3,3"
11.05,-21.13491964,-1.956819478,-18.36290072,-12.52531639,-4.07367975,-1.990140244,-24.65901554,-5.463195017,-13.0750671,-10.99291592,-8.685351364,-7.461214323,-26.72255989,-3.048424895,-7.005208121,-18.87252952,-4.622275752,-2.757725458,-7.272280416,-5.547663921,-6.724669895,-11.89931087,-3.11202805,-5.014016546,-1.037288843,-5.713252664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.06,-22.83272106,-1.697829565,-17.70902085,-10.31776726,-3.68509898,-1.528700132,-25.51159253,-4.162070703,-12.00218666,-10.45037022,-9.604457464,-5.810647524,-25.84366952,-2.31643052,-6.581284716,-37.06765766,-4.46135914,-1.911785177,-4.401199628,-5.94849481,-3.978775877,-24.21238444,-2.907687151,-5.324889103,-0.655729293,-5.683393232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.07,-24.73634171,-1.442353051,-16.40911189,-8.279336641,-3.257445485,-1.157175765,-29.69101608,-3.092886755,-11.37141493,-9.563884485,-11.47704785,-4.347957866,-15.02854707,-1.721811613,-6.411959756,-17.98411035,-4.504920769,-1.312049362,-2.671063065,-6.805337917,-2.373726361,-14.36866432,-2.840409579,-6.059353992,-0.427838505,-5.735042191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.08,-26.42142779,-1.200884037,-14.603021,-6.464606537,-2.808298799,-0.867323819,-39.94265716,-2.255658759,-11.168254,-8.402270122,-15.51289308,-3.145172953,-9.679990075,-1.261018084,-6.512408672,-10.57702481,-4.790981058,-0.899536244,-1.641851577,-8.482923626,-1.44380109,-6.873398204,-2.916813104,-7.542728724,-0.28736561,-5.856503045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.09,-27.0532086,-0.981765973,-12.51056672,-4.914012882,-2.359950073,-0.646522016,-23.14871217,-1.625771187,-11.44950111,-7.080807948,-31.21817774,-2.218747325,-6.254210785,-0.916225738,-6.947794932,-6.462993193,-5.422167557,-0.620172949,-1.031272134,-12.03930293,-0.902356803,-3.568823635,-3.176039791,-10.70550496,-0.198089816,-6.036165588,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.1,-25.83775568,-0.790170866,-10.34359521,-3.646414678,-1.934832921,-0.481100915,-16.10577496,-1.165760988,-12.38920591,-5.72927456,-16.0770805,-1.541785564,-3.992243899,-0.6642614,-7.875488342,-3.940165575,-6.639610701,-0.431785494,-0.664710624,-23.86810109,-0.581002758,-1.941797552,-3.717522401,-20.33424142,-0.139728269,-6.260264013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.11,-22.9635549,-0.627975209,-8.267008854,-2.654555025,-1.551149086,-0.358458095,-11.42499957,-0.83622788,-14.44266324,-4.462944997,-8.813111295,-1.065292254,-2.531681134,-0.482680754,-9.670193652,-2.405059216,-9.066626055,-0.304310058,-0.439933507,-15.0147957,-0.385123622,-1.111540369,-4.782552346,-15.64500894,-0.100591341,-6.510634164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.12,-19.34294209,-0.494333634,-6.396296347,-1.908035093,-1.220112603,-0.26802113,-7.993172312,-0.602543217,-19.13370923,-3.363052579,-5.101896364,-0.737372523,-1.612698281,-0.352645508,-13.4221505,-1.487317964,-14.99781612,-0.217339744,-0.29860056,-7.271942469,-0.262236514,-0.669022515,-7.033927,-7.105189707,-0.073740256,-6.762669488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.13,-15.6844262,-0.386582818,-4.802881748,-1.363014721,-0.945452753,-0.201433616,-5.459810755,-0.437323684,-52.86916788,-2.46846655,-3.001679702,-0.513972977,-1.041508405,-0.259588199,-26.07121334,-0.940122965,-23.81518064,-0.157351328,-0.207429599,-3.831927754,-0.182944488,-0.421264855,-13.07296051,-3.590681534,-0.054938108,-6.984047805,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.14,-12.31470364,-0.301140399,-3.516176252,-0.973233578,-0.724792916,-0.152338445,-3.647129202,-0.320262345,-16.5254603,-1.779365071,-1.803659055,-0.361935697,-0.685558794,-0.192778111,-15.82026733,-0.609770482,-9.346649138,-0.115461265,-0.147158589,-2.108025113,-0.130426163,-0.275784761,-19.37018662,-1.916713869,-0.041528847,-7.135228307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.15,-9.362514063,-0.234203982,-2.526652178,-0.697646334,-0.551911647,-0.116014814,-2.403730232,-0.236861354,-9.872358341,-1.270065732,-1.115306374,-0.257942754,-0.460878488,-0.144530147,-8.175404975,-0.406022387,-4.681112589,-0.085831023,-0.106399281,-1.215294971,-0.094802461,-0.186628658,-6.803629761,-1.082996273,-0.031806827,-7.172943339,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.16,-6.88424723,-0.182196634,-1.79589803,-0.503570837,-0.418931462,-0.089007594,-1.580468319,-0.176983657,-6.102832447,-0.904090524,-0.711828191,-0.186185526,-0.316450484,-0.109422682,-4.551331903,-0.277184703,-2.494696014,-0.064600477,-0.078256344,-0.734766892,-0.070112967,-0.129914546,-3.028022653,-0.64630493,-0.024652421,-7.05742128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.17,-4.901432033,-0.141992947,-1.271928708,-0.366693896,-0.317909766,-0.068807825,-1.046418976,-0.133609065,-3.779701721,-0.645352681,-0.468593147,-0.136129529,-0.221706562,-0.083655849,-2.61198703,-0.193622192,-1.406273892,-0.049194323,-0.058453524,-0.464048962,-0.052666417,-0.092655595,-1.494898552,-0.404740477,-0.019315865,-6.762430851,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.18,-3.39741642,-0.11099164,-0.902955294,-0.269655793,-0.241739606,-0.05359952,-0.701936656,-0.101887114,-2.352687488,-0.463681857,-0.317396985,-0.100791685,-0.15826914,-0.06456904,-1.550624426,-0.138093268,-0.837514062,-0.03787595,-0.044277131,-0.30445053,-0.040120142,-0.067485389,-0.80799576,-0.26406355,-0.015285873,-6.284884976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.19,-2.313672713,-0.087097923,-0.645243795,-0.200342805,-0.184509077,-0.04206831,-0.47856786,-0.078458515,-1.485783944,-0.336128474,-0.22055758,-0.075533643,-0.114948029,-0.050294448,-0.956093768,-0.100351569,-0.5240137,-0.029460819,-0.033967554,-0.20637335,-0.030953346,-0.050063862,-0.470739215,-0.178335551,-0.012207965,-5.649482029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.2,-1.564157215,-0.068662385,-0.465364566,-0.150393555,-0.141526617,-0.033260809,-0.332002873,-0.060984344,-0.958532242,-0.246162598,-0.156786236,-0.057254737,-0.084811037,-0.039514353,-0.611957467,-0.074162987,-0.342018421,-0.02313149,-0.026360845,-0.143852581,-0.024158085,-0.0377463,-0.291157042,-0.12400943,-0.009832626,-4.905414676,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.21,-1.059262788,-0.05440579,-0.339246412,-0.114054103,-0.109182021,-0.02648292,-0.23435114,-0.047824527,-0.633544898,-0.18223305,-0.113719548,-0.043863728,-0.063481585,-0.031293197,-0.405317856,-0.05564396,-0.23133854,-0.018317327,-0.020672813,-0.102701644,-0.01905353,-0.028872276,-0.188868802,-0.088408227,-0.00798177,-4.115861646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.22,-0.723223979,-0.043345693,-0.250133114,-0.087356742,-0.084751827,-0.021226947,-0.168194488,-0.037819658,-0.429075079,-0.136387344,-0.083968788,-0.033935699,-0.048143088,-0.02496196,-0.276702647,-0.04231982,-0.161260594,-0.014615513,-0.016366155,-0.074848303,-0.015171773,-0.022371393,-0.12731606,-0.064394113,-0.006526654,-3.344116983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.23,-0.499781719,-0.034732069,-0.186556046,-0.067551161,-0.066206567,-0.017119557,-0.122611656,-0.030143021,-0.297388062,-0.103178783,-0.062994246,-0.026489195,-0.036948883,-0.020038571,-0.193962203,-0.032579854,-0.115327844,-0.011738637,-0.013067,-0.055526653,-0.012186105,-0.017537202,-0.088572777,-0.047784717,-0.005373107,-2.64112629,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.24,-0.350247004,-0.027994109,-0.140712797,-0.052717239,-0.052044364,-0.013884662,-0.09068282,-0.024199908,-0.210549233,-0.078873216,-0.047933567,-0.020840757,-0.028666661,-0.016172959,-0.139136488,-0.025354879,-0.08431224,-0.009479541,-0.010511493,-0.041828455,-0.009865077,-0.013893556,-0.06326135,-0.036041921,-0.004451486,-2.038165514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.25,-0.24908501,-0.02269786,-0.107290731,-0.041503332,-0.04115724,-0.011316895,-0.067962718,-0.019558733,-0.151978177,-0.060898219,-0.036938575,-0.016509272,-0.022460357,-0.013108935,-0.101843371,-0.019922217,-0.062823705,-0.007687478,-0.008510996,-0.031926251,-0.008042535,-0.011113423,-0.046199748,-0.027577204,-0.003709766,-1.546100217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.26,-0.179746891,-0.018513255,-0.082654094,-0.032949544,-0.032728164,-0.009262603,-0.051552081,-0.015903589,-0.111636149,-0.047468954,-0.028789771,-0.013152493,-0.017753923,-0.010657598,-0.07588122,-0.015785222,-0.047598292,-0.006251762,-0.006929035,-0.024641452,-0.006597735,-0.00896833,-0.034388489,-0.021368983,-0.003108714,-1.159900068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.27,-0.1315516,-0.015188857,-0.064295771,-0.026368009,-0.026153751,-0.007606164,-0.039530441,-0.013001312,-0.083310131,-0.037336476,-0.022666466,-0.010524492,-0.014144741,-0.008678641,-0.057431598,-0.012597348,-0.036595766,-0.005090449,-0.005665804,-0.01919615,-0.005441952,-0.007296183,-0.026021522,-0.016744283,-0.002618482,-0.865320842,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.28,-0.097576042,-0.012532687,-0.050471286,-0.021261351,-0.020987138,-0.006260093,-0.030606178,-0.010678435,-0.063068888,-0.029618738,-0.018006374,-0.008446862,-0.011347665,-0.007067128,-0.044077812,-0.010113385,-0.028504618,-0.004142404,-0.004647588,-0.015066201,-0.004509319,-0.005980349,-0.019973951,-0.013250201,-0.002216174,-0.644880854,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.29,-0.073292389,-0.010397746,-0.039954985,-0.017266755,-0.016896144,-0.005157852,-0.023897823,-0.008804921,-0.048371431,-0.023686857,-0.014417928,-0.006789,-0.009158254,-0.005744063,-0.034251879,-0.008157599,-0.022460659,-0.003361703,-0.003819455,-0.011891865,-0.003750482,-0.004935824,-0.015524317,-0.01057606,-0.001884096,-0.481761757,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.3,-0.055705053,-0.008671128,-0.03187712,-0.014117304,-0.013632757,-0.004248588,-0.018795422,-0.0072826,-0.037542125,-0.019088143,-0.011624375,-0.005454491,-0.007428269,-0.004649617,-0.026913474,-0.006602568,-0.017881804,-0.002713629,-0.003140144,-0.009422122,-0.003128148,-0.00409992,-0.01219794,-0.008505069,-0.001608469,-0.361664731,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.31,-0.042806813,-0.007265829,-0.025614362,-0.011615029,-0.01101094,-0.003493268,-0.014871372,-0.006036865,-0.0294552,-0.01549365,-0.009427456,-0.004371598,-0.006049103,-0.003738227,-0.021358332,-0.005354907,-0.014368213,-0.0021718,-0.002578442,-0.00747919,-0.002613921,-0.003425899,-0.00967542,-0.006883601,-0.001378496,-0.273281428,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.32,-0.033234971,-0.006114585,-0.020715646,-0.009611961,-0.008890452,-0.002861812,-0.011822234,-0.005010665,-0.023341176,-0.01266214,-0.007683388,-0.00348656,-0.004940425,-0.002975025,-0.017100949,-0.004345517,-0.01164037,-0.001716074,-0.002110594,-0.005935465,-0.002186038,-0.002878567,-0.007737537,-0.005601267,-0.001185661,-0.208052617,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.33,-0.026052266,-0.00516523,-0.016851502,-0.007996699,-0.007165055,-0.002330975,-0.009430227,-0.004160136,-0.01866569,-0.010415119,-0.006286723,-0.002758828,-0.004042299,-0.002333212,-0.013801094,-0.003522814,-0.009499762,-0.00133102,-0.001718431,-0.004698255,-0.001827721,-0.00243117,-0.006231158,-0.004577748,-0.001023207,-0.159667712,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.34,-0.020605822,-0.004377188,-0.01377913,-0.006684803,-0.005753877,-0.001882745,-0.007537402,-0.003451385,-0.015052197,-0.008619378,-0.005159344,-0.002157634,-0.003309659,-0.00179212,-0.011216766,-0.002847993,-0.007803385,-0.001004789,-0.001388005,-0.003699504,-0.001525974,-0.002063198,-0.005047615,-0.00375394,-0.000885744,-0.123542189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.35,-0.016435279,-0.003718818,-0.011318083,-0.005611869,-0.004595065,-0.001503149,-0.006028085,-0.002858111,-0.012231772,-0.007174685,-0.004242847,-0.001659523,-0.002708381,-0.00133577,-0.009173494,-0.00229166,-0.006446887,-0.000728272,-0.001108577,-0.002888766,-0.001270693,-0.0017588,-0.00410871,-0.003085908,-0.000768951,-0.096369108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.36,-0.013212228,-0.003165393,-0.009333186,-0.004728497,-0.003641101,-0.001181345,-0.004816812,-0.002359832,-0.010009969,-0.006005024,-0.003493213,-0.001246537,-0.002212469,-0.000951788,-0.00754395,-0.00183142,-0.005353238,-0.000494473,-0.000871877,-0.00222834,-0.001054004,-0.001505631,-0.003357461,-0.002540695,-0.000669347,-0.075767875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.37,-0.010699784,-0.002697562,-0.00772243,-0.003996605,-0.002855336,-0.000908933,-0.003839926,-0.001940562,-0.008244586,-0.00505231,-0.002877025,-0.000904888,-0.001802019,-0.000630593,-0.006234165,-0.001450129,-0.004464974,-0.000298035,-0.000671541,-0.001689844,-0.000869765,-0.001294013,-0.002751878,-0.002093385,-0.000584117,-0.06002234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.38,-0.008725283,-0.002300167,-0.006408304,-0.003386708,-0.002209396,-0.000679424,-0.003049666,-0.0015878,-0.006830541,-0.00427184,-0.002368759,-0.000623969,-0.001461728,-0.000364776,-0.005174095,-0.001134614,-0.003738827,-0.000134879,-0.000502688,-0.001251791,-0.000713191,-0.001116308,-0.002260718,-0.001725007,-0.000510974,-0.047890795,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.39,-0.00716162,-0.00196134,-0.005331541,-0.002875894,-0.001681254,-0.000487836,-0.002409972,-0.001291769,-0.005689441,-0.003628973,-0.00194882,-0.000395621,-0.001179798,-0.00014863,-0.004311053,-0.000874737,-0.003141949,-1.93E-06,-0.000361602,-0.00089784,-0.000580562,-0.000966452,-0.001860532,-0.001421039,-0.000448055,-0.038470185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.4,-0.005914344,-0.001671799,-0.004446572,-0.002446314,-0.001253765,-0.000330381,-0.001893466,-0.001044835,-0.004762292,-0.003096688,-0.001602105,-0.000213573,-0.00094712,2.22E-05,-0.003605088,-0.000662683,-0.002649216,0.000103091,-0.000245489,-0.000615521,-0.000469011,-0.000839604,-0.001533592,-0.001170309,-0.000393838,-0.031099752,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.41,-0.00491265,-0.001424309,-0.003718181,-0.002084039,-0.000913566,-0.00020422,-0.001479268,-0.000841056,-0.00400435,-0.002653781,-0.001316946,-7.30E-05,-0.000756665,0.000151064,-0.003025691,-0.000492445,-0.002241296,0.000181839,-0.000152281,-0.000395314,-0.000376343,-0.000731879,-0.001266418,-0.000964201,-0.000347075,-0.025292826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.42,-0.004103014,-0.00121326,-0.003119042,-0.001778197,-0.000650239,-0.000107273,-0.001151403,-0.000675835,-0.003381441,-0.002283508,-0.001084319,2.96E-05,-0.000603019,0.000240383,-0.00254942,-0.000359419,-0.001903239,0.00023546,-8.05E-05,-0.000229953,-0.000300915,-0.000640147,-0.001048709,-0.000796057,-0.000306745,-0.020688486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.43,-0.003444652,-0.001034335,-0.002627877,-0.001520309,-0.000455669,-3.81E-05,-0.00089762,-0.000545652,-0.002867302,-0.001972576,-0.000897253,9.72E-05,-0.000482036,0.000291963,-0.002158174,-0.000260104,-0.001623436,0.000264699,-2.91E-05,-0.000113914,-0.00024152,-0.000561872,-0.000872577,-0.000660734,-0.000272006,-0.017017199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.44,-0.002906255,-0.000884253,-0.002228078,-0.001303788,-0.000323551,4.36E-06,-0.000708521,-0.000447847,-0.002441645,-0.001710376,-0.00075038,0.000131632,-0.000390571,0.000307051,-0.001837921,-0.000191874,-0.001392856,0.000269973,2.45E-06,-4.30E-05,-0.000197316,-0.000494994,-0.000731973,-0.000554274,-0.000242168,-0.014076289,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.45,-0.002463621,-0.000760565,-0.001906665,-0.001123541,-0.000249013,2.06E-05,-0.000576908,-0.000380464,-0.002088728,-0.001488396,-0.000639596,0.000134388,-0.000326271,0.000286456,-0.001577752,-0.000152792,-0.001204465,0.000251433,1.46E-05,-1.42E-05,-0.000167757,-0.000437834,-0.000622263,-0.000473645,-0.000216665,-0.011712317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.46,-0.002097914,-0.000661495,-0.001653492,-0.000975671,-0.000228319,1.09E-05,-0.000497288,-0.000342109,-0.001796302,-0.001299774,-0.000561795,0.000106444,-0.000287416,0.000230632,-0.001369184,-0.000141481,-0.001052792,0.000209013,7.25E-06,-2.51E-05,-0.00015254,-0.00038902,-0.000539916,-0.000416552,-0.000195034,-0.009808363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.47,-0.001794381,-0.000585809,-0.001460643,-0.000857237,-0.000258642,-2.48E-05,-0.0004655,-0.000331857,-0.001554812,-0.001138952,-0.000514673,4.84E-05,-0.000272799,0.000139741,-0.001205617,-0.000157005,-0.000933599,0.000142469,-1.96E-05,-7.42E-05,-0.000151568,-0.000347429,-0.000482265,-0.000381285,-0.000176894,-0.008274775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.48,-0.001541402,-0.000532717,-0.001321966,-0.00076607,-0.000337881,-8.66E-05,-0.000478429,-0.00034916,-0.001356806,-0.001001414,-0.000496567,-3.94E-05,-0.000281622,1.37E-05,-0.001081938,-0.000198796,-0.000843629,5.14E-05,-6.64E-05,-0.000160381,-0.000164916,-0.000312137,-0.000447321,-0.000366604,-0.000161941,-0.007042402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.49,-0.00132977,-0.000501791,-0.001232707,-0.000700624,-0.000464522,-0.000175142,-0.000533788,-0.000393785,-0.001196478,-0.00088347,-0.000506331,-0.000156967,-0.000313424,-0.000147739,-0.000994207,-0.000266577,-0.000780405,-6.47E-05,-0.000133521,-0.000282999,-0.000192804,-0.00028239,-0.000433637,-0.00037165,-0.000149925,-0.006057611,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.5,-0.001152151,-0.0004929,-0.001189236,-0.000659861,-0.000637529,-0.000290844,-0.000629948,-0.000465763,-0.001069323,-0.000782098,-0.000543242,-0.000304388,-0.000368018,-0.000345037,-0.00093942,-0.000360314,-0.000742082,-0.000206425,-0.000221626,-0.000441752,-0.000235575,-0.000257567,-0.000440199,-0.000395873,-0.000140652,-0.005278592,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.51,-43.5778949,-33.78354136,-37.61667038,-37.35892799,-36.65419741,-33.38571218,-40.30131853,-32.97703736,-39.37940879,-36.20254204,-35.62206797,-35.48947209,-36.3974955,-30.30590819,-36.3039579,-33.86110391,-33.5959926,-31.16008314,-32.35136754,-35.34169076,-28.68627538,-31.41873883,-35.83968964,-33.65285409,-27.66166005,-41.71443881,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.52,-42.74180331,-32.66670568,-36.67751239,-36.39842247,-35.6344579,-32.26908106,-39.38936711,-31.89701713,-38.4768196,-35.19053138,-34.63611691,-34.42642424,-35.39349027,-29.09006951,-35.34320927,-32.78921688,-32.58173958,-29.95237902,-31.23580244,-34.32917396,-27.46773663,-30.30014648,-34.8345874,-32.57972823,-26.41314813,-40.86396856,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.53,-41.88797706,-31.51137578,-35.71550748,-35.41365088,-34.58436674,-31.11591892,-38.4559987,-30.78498253,-37.5539642,-34.14987287,-33.62683243,-33.33150325,-34.36322723,-27.82887154,-34.36021363,-31.68727401,-31.54462335,-28.70126287,-30.08780586,-33.29140865,-26.21114678,-29.1519306,-33.80558899,-31.47761333,-25.12505437,-39.99418741,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.54,-41.01552553,-30.3140136,-34.72933162,-34.40312437,-33.50156704,-29.92315825,-37.50003246,-29.63862548,-36.60981743,-33.07853802,-32.59311194,-32.20234813,-33.30512822,-26.51796578,-33.35392467,-30.55342953,-30.48392118,-27.40284179,-28.90531405,-32.22711733,-24.91431936,-27.97282168,-32.75171309,-30.34497464,-23.79503128,-39.1039804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.55,-40.12348571,-29.07051496,-33.71753735,-33.36520224,-32.38338428,-28.6872906,-36.52018313,-28.45536791,-35.64327648,-31.97425737,-31.53379792,-31.03630561,-32.21746801,-25.15231101,-32.32324179,-29.38568364,-29.39896495,-26.05265117,-27.68608325,-31.13495069,-23.57503767,-26.76158368,-31.67197444,-29.1802075,-22.42067938,-38.1921237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.56,-39.2108139,-27.77607832,-32.67853817,-32.29806981,-31.22676362,-27.40427661,-35.51504811,-27.23232033,-34.65315373,-30.83447978,-30.44768108,-29.83037911,-31.09835682,-23.72602782,-31.26701196,-28.18187353,-28.28917424,-24.64554571,-26.42767916,-30.01349038,-22.19114032,-25.51706452,-30.56540312,-27.98165267,-20.99963691,-37.25726917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.57,-38.27637607,-26.42503403,-31.61059041,-31.19971235,-30.02819096,-26.06943341,-34.48309273,-25.96623438,-33.63816892,-29.65632307,-29.33350702,-28.5811667,-29.94572081,-22.23222378,-30.18403426,-26.93966821,-27.15410085,-23.17557201,-25.12747221,-28.86125584,-20.76066593,-24.2382702,-29.43107187,-26.747623,-19.52973831,-36.29792594,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.58,-37.31893688,-25.01062026,-30.51177256,-30.06788406,-28.78359241,-24.67729368,-33.42263312,-24.65344957,-32.59694096,-28.43651397,-28.18998757,-27.28478568,-28.7572809,-20.66279248,-29.07306819,-25.65657072,-25.9934885,-21.63582713,-23.78264409,-27.67671734,-19.28209255,-22.92447274,-28.26813474,-25.47644712,-18.0092868,-35.31243845,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.59,-36.33714679,-23.52468655,-29.37996162,-28.90007127,-27.48820519,-23.22143025,-32.33181643,-23.28983682,-31.52797927,-27.17131488,-27.01581932,-25.93678117,-27.53053027,-19.00820712,-27.93284756,-24.32993353,-24.80735213,-20.01832021,-22.3902154,-26.45831836,-17.75472797,-21.57536624,-27.07588082,-24.16653894,-16.43751575,-34.29896003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.6,-35.32952724,-21.9573004,-28.21280634,-27.69344885,-26.13641012,-21.69424168,-31.20859802,-21.87074458,-30.42967522,-25.85643475,-25.80971251,-24.53201637,-26.26271201,-17.25737406,-26.7621025,-22.95699713,-23.5960829,-18.31388508,-20.94711155,-25.20451205,-16.17933771,-20.19129092,-25.85380869,-22.81650594,-14.81535876,-33.25542079,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
